1,80, 
2,81,1
3,82,1
4,84,2
5,85,1
6,87,2
7,88,1
8,92,2
9,94,2
10,96,2
11,97,1
12,99,2
13,101,2
14,103,2
15,105,2
16,106,1
17,108,2
18,110,2
19,111,1
20,113,2
21,115,2
22,116,1
23,118,2
24,120,2
25,121,1
26,123,2
27,125,2
28,126,1
29,128,2
30,130,2
31,131,1
32,132,2
33,133,1
34,135,2
35,136,1
36,137,1
37,138,1
38,140,2
39,141,1
40,142,1
41,143,1
42,145,2
43,146,1
44,147,1
45,148,1
46,150,2
47,151,1
48,152,1
49,153,1
50,155,2
51,155,0
52,155,0
53,155,0
54,156,1
55,156,0
56,156,0
57,157,1
58,157,0
59,157,0
60,158,1
61,158,0
62,158,0
63,158,0
64,159,1
65,159,0
66,159,0
67,160,1
68,160,0
69,160,0
70,161,1
71,161,0
72,161,0
73,162,1
74,162,0
75,162,0
76,162,0
77,163,1
78,163,0
79,163,0
80,164,1
81,164,0
82,164,0
83,165,1
84,165,0
85,165,0
86,166,1
87,166,0
88,166,0
89,166,0
90,167,1
91,167,0
92,167,0
93,168,1
94,168,0
95,168,0
96,169,1
97,169,0
98,169,0
99,170,1
