1,400,0,
2,415,15,
3,433,18,
4,451,18,
5,471,20,
6,490,19,
7,511,21,
8,530,19,
9,552,22,
10,572,20,
11,594,22,
12,616,22,
13,638,22,
14,658,20,
15,682,24,
16,698,16,
17,718,20,
18,742,24,
19,766,24,
20,792,26,
21,821,29,
22,849,28,
23,878,29,
24,908,30,
25,938,30,
26,970,32,
27,1001,31,
28,1034,33,
29,1066,32,
30,1100,34,
31,1123,23,
32,1147,24,
33,1170,23,
34,1193,23,
35,1216,23,
36,1239,23,
37,1261,22,
38,1283,22,
39,1304,21,
40,1325,21,
41,1346,21,
42,1366,20,
43,1386,20,
44,1405,19,
45,1424,19,
46,1442,18,
47,1458,16,
48,1474,16,
49,1489,15,
50,1500,11,
51,1508,8,
52,1517,9,
53,1526,9,
54,1535,9,
55,1544,9,
56,1553,9,
57,1562,9,
58,1571,9,
59,1580,9,
60,1588,8,
61,1597,9,
62,1606,9,
63,1615,9,
64,1623,8,
65,1632,9,
66,1641,9,
67,1649,8,
68,1658,9,
69,1666,8,
70,1675,9,
71,1683,8,
72,1692,9,
73,1700,8,
74,1709,9,
75,1717,8,
76,1725,8,
77,1734,9,
78,1742,8,
79,1750,8,
80,1758,8,
81,1767,9,
82,1775,8,
83,1783,8,
84,1791,8,
85,1799,8,
86,1807,8,
87,1814,7,
88,1822,8,
89,1830,8,
90,1837,7,
91,1845,8,
92,1852,7,
93,1860,8,
94,1867,7,
95,1874,7,
96,1881,7,
97,1888,7,
98,1894,6,
99,1900,6
