1,60,0,
2,62,2,
3,65,3,
4,69,4,
5,72,3,
6,75,4,
7,79,4,
8,84,5,
9,88,4,
10,93,5,
11,98,5,
12,103,5,
13,109,6,
14,114,5,
15,120,6,
16,124,4,
17,130,6,
18,136,6,
19,143,7,
20,150,7,
21,157,7,
22,165,8,
23,173,8,
24,181,8,
25,189,8,
26,198,9,
27,206,8,
28,215,9,
29,224,9,
30,233,9,
31,242,9,
32,251,9,
33,260,9,
34,270,10,
35,275,5,
36,278,3,
37,282,4,
38,286,4,
39,290,4,
40,293,3,
41,296,3,
42,299,3,
43,302,3,
44,305,3,
45,308,3,
46,311,3,
47,315,4,
48,318,3,
49,321,3,
50,324,3,
51,326,2,
52,329,3,
53,332,3,
54,335,3,
55,338,3,
56,340,2,
57,342,2,
58,344,2,
59,347,3,
60,350,3,
61,353,3,
62,355,2,
63,358,3,
64,361,3,
65,364,3,
66,367,3,
67,369,2,
68,372,3,
69,375,3,
70,377,2,
71,380,3,
72,382,2,
73,385,3,
74,388,3,
75,390,2,
76,393,3,
77,396,3,
78,399,3,
79,401,2,
80,404,3,
81,408,4,
82,411,3,
83,414,3,
84,417,3,
85,419,2,
86,421,2,
87,423,2,
88,426,3,
89,428,2,
90,430,2,
91,433,3,
92,435,2,
93,437,2,
94,439,2,
95,441,2,
96,443,2,
97,446,3,
98,448,2,
99,450,2
